title,extract,content,link
Clematis dolichopoda,Clematis dolichopoda là một loài thực vật có hoa trong họ Mao lương. Loài này được Brenan mô tả khoa học đầu tiên năm 1949.,"Clematis dolichopoda Phân loại khoa học Giới ( regnum ) Plantae (không phân hạng) Angiospermae (không phân hạng) Eudicots Bộ ( ordo ) Ranunculales Họ ( familia ) Ranunculaceae Chi ( genus ) Clematis Loài ( species ) C. dolichopoda Danh pháp hai phần Clematis dolichopoda Brenan, 1949 Clematis dolichopoda là một loài thực vật có hoa trong họ Mao lương . Loài này được Brenan mô tả khoa học đầu tiên năm 1949. [ 1 ] Chú thích [ sửa | sửa mã nguồn ] ^ The Plant List (2010). "" Clematis dolichopoda "" . Truy cập ngày 13 tháng 6 năm 2013 . Liên kết ngoài [ sửa | sửa mã nguồn ] Tư liệu liên quan tới Clematis dolichopoda tại Wikimedia Commons Dữ liệu liên quan tới Clematis dolichopoda tại Wikispecies Vườn thực vật hoàng gia Kew ; Đại học Harvard ; Australian Plant Name Index (biên tập). ""Clematis dolichopoda"" . International Plant Names Index . Truy cập ngày 13 tháng 6 năm 2013 . Bài viết về chủ đề tông mao lương Anemoneae này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Clematis_dolichopoda&oldid=70333279 ”",https://vi.wikipedia.org/wiki/Clematis_dolichopoda
Thyretes signivenis,"Thyretes signivenis là một loài bướm đêm thuộc phân họ Arctiinae, họ Erebidae.","Thyretes signivenis Phân loại khoa học Giới ( regnum ) Animalia Ngành ( phylum ) Arthropoda Lớp ( class ) Insecta Bộ ( ordo ) Lepidoptera Họ ( familia ) Erebidae Chi ( genus ) Thyretes Loài ( species ) T. signivenis Danh pháp hai phần Thyretes signivenis Thyretes signivenis là một loài bướm đêm thuộc phân họ Arctiinae , họ Erebidae . [ 1 ] Chú thích [ sửa | sửa mã nguồn ] ^ Bisby, F.A.; Roskov, Y.R.; Orrell, T.M.; Nicolson, D.; Paglinawan, L.E.; Bailly, N.; Kirk, P.M.; Bourgoin, T.; Baillargeon, G.; Ouvrard, D. (2011). ""Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist"" . Species 2000: Reading, UK . Truy cập ngày 24 tháng 9 năm 2012 . Liên kết ngoài [ sửa | sửa mã nguồn ] Tư liệu liên quan tới Thyretes signivenis tại Wikimedia Commons Dữ liệu liên quan tới Thyretes signivenis tại Wikispecies Bài viết liên quan đến tông bướm Syntomini này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Thyretes_signivenis&oldid=70333280 ”",https://vi.wikipedia.org/wiki/Thyretes_signivenis
Tổng tuyển cử Argentina 2023,"Cuộc tổng tuyển cử được tổ chức tại Argentina vào ngày 22 tháng 10 năm 2023 để bầu tổng thống, phó tổng thống, các nghị sĩ Quốc hội và thống đốc toàn tỉnh. Vì không có ứng cử viên tổng thống nào giành được đa số phiếu trong vòng đầu tiên, nên vòng bầu cử thứ hai được tổ chức vào ngày 19 tháng 11, trong đó Javier Milei đã đánh bại Sergio Massa để trở thành Tổng thống Argentina. Tổng thống đương nhiệm Alberto Fernández và phó tổng thống đương nhiệm kiêm cựu tổng thống Cristina Fernández de Kirchner, mặc dù cả hai đều đủ điều kiện cho nhiệm kỳ thứ hai liên tiếp, nhưng đã không tái tranh cử.","Tổng tuyển cử Argentina 2023 Bầu cử tổng thống ← 2019 22 tháng 10 năm 2023 (vòng một) 19 tháng 11 năm 2023 (vòng hai) 2027 → Thăm dò Đăng ký 35,854,122 (vòng một) 35,405,398 (vòng hai) Số người đi bầu 77.14% (vòng một) 3.27 pp 76.32% (vòng hai) 0.82 pp [ 1 ] Đề cử Javier Milei Sergio Massa Đảng PL FR Liên minh LLA UP Đồng ứng cử Victoria Villarruel Agustín Rossi Phiếu phổ thông 14,554,560 11,598,720 Tỉ lệ 55.65% 44.35% Kết quả vòng 1 theo tỉnh Kết quả vòng 2 theo tỉnh Tổng thống trước bầu cử Alberto Fernández FdT – PJ Tổng thống được bầu Javier Milei LLA – PL Hạ viện ← 2021 22 tháng 10 năm 2023 2025 → 130 trong 257 ghế trong Hạ viện Cử tri 77.01% Đảng Lãnh đạo % Ghế +/– UP Germán Martínez 38.54 58 -10 JxC Mario Negri 26.60 31 -25 LLA Javier Milei 26.51 35 Mới Hacemos Juan Schiaretti 3.99 4 0 FIT – Unidad Nicolás del Caño 3.31 1 +1 Por Santa Cruz Claudio Vidal 0.23 1 0 Đây là danh sách các đảng đã giành được ghế. Xem kết quả đầy đủ dưới đây . Thượng viện ← 2021 22 tháng 10 năm 2023 2025 → 24 trong 72 ghế trong Thượng viện Cử tri 78.30% Đảng Lãnh đạo % Ghế +/– UP José Mayans 43.66 13 +3 LLA Javier Milei 25.93 7 Mới JxC Alfredo Cornejo 25.62 2 -9 Por Santa Cruz Claudio Vidal 0.50 2 +1 Đây là danh sách các đảng đã giành được ghế. Xem kết quả đầy đủ dưới đây . Bản đồ hiển thị số ghế mà mỗi đảng giành được ở mỗi tỉnh. Cuộc tổng tuyển cử được tổ chức tại Argentina vào ngày 22 tháng 10 năm 2023 để bầu tổng thống , phó tổng thống , các nghị sĩ Quốc hội và thống đốc toàn tỉnh . Vì không có ứng cử viên tổng thống nào giành được đa số phiếu trong vòng đầu tiên, nên vòng bầu cử thứ hai được tổ chức vào ngày 19 tháng 11, trong đó Javier Milei đã đánh bại Sergio Massa để trở thành Tổng thống Argentina. [ 2 ] Tổng thống đương nhiệm Alberto Fernández và phó tổng thống đương nhiệm kiêm cựu tổng thống Cristina Fernández de Kirchner , mặc dù cả hai đều đủ điều kiện cho nhiệm kỳ thứ hai liên tiếp, nhưng đã không tái tranh cử. [ 3 ] [ 4 ] Kết quả [ sửa | sửa mã nguồn ] Tổng thống [ sửa |",https://vi.wikipedia.org/wiki/Tổng_tuyển_cử_Argentina_2023
Phygadeuon brachyurus,Phygadeuon brachyurus là một loài tò vò trong họ Ichneumonidae.,"Phygadeuon brachyurus Phân loại khoa học Giới ( regnum ) Animalia Ngành ( phylum ) Arthropoda Lớp ( class ) Insecta Bộ ( ordo ) Hymenoptera Họ ( familia ) Ichneumonidae Chi ( genus ) Phygadeuon Loài ( species ) P. brachyurus Danh pháp hai phần Phygadeuon brachyurus Thomson, 1884 Phygadeuon brachyurus là một loài tò vò trong họ Ichneumonidae . [ 1 ] Chú thích [ sửa | sửa mã nguồn ] ^ Bisby, F.A.; Roskov, Y.R.; Orrell, T.M.; Nicolson, D.; Paglinawan, L.E.; Bailly, N.; Kirk, P.M.; Bourgoin, T.; Baillargeon, G.; Ouvrard, D. (2011). ""Species 2000 & ITIS Catalogue of Life: 2011 Annual Checklist"" . Species 2000: Reading, UK . Truy cập ngày 22 tháng 6 năm 2014 . Liên kết ngoài [ sửa | sửa mã nguồn ] Dữ liệu liên quan tới Phygadeuon brachyurus tại Wikispecies Tư liệu liên quan tới Phygadeuon brachyurus tại Wikimedia Commons Bài viết liên quan đến tông tò vò Phygadeuontini này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Phygadeuon_brachyurus&oldid=70333281 ”",https://vi.wikipedia.org/wiki/Phygadeuon_brachyurus
Hyposmocoma crossotis,Hyposmocoma crossotis là một loài bướm đêm thuộc họ Cosmopterigidae. Nó là loài đặc hữu của Oahu. Loài địa phương ở núi Koolau.,"Hyposmocoma crossotis Phân loại khoa học Giới ( regnum ) Animalia Ngành ( phylum ) Arthropoda Lớp ( class ) Insecta Bộ ( ordo ) Lepidoptera Phân bộ ( subordo ) Glossata Liên họ ( superfamilia ) Gelechioidea (không phân hạng) Ditrysia Họ ( familia ) Cosmopterigidae Chi ( genus ) Hyposmocoma Loài ( species ) H. crossotis Danh pháp hai phần Hyposmocoma crossotis Meyrick, 1915 Hyposmocoma crossotis là một loài bướm đêm thuộc họ Cosmopterigidae . Nó là loài đặc hữu của Oahu . Loài địa phương ở núi Koolau. Tham khảo [ sửa | sửa mã nguồn ] Liên kết ngoài [ sửa | sửa mã nguồn ] Insects of Hawaii. Volume 9, Microlepidoptera Bài viết về một loài bướm đêm trong họ Cosmopterigidae này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Hyposmocoma_crossotis&oldid=65718829 ”",https://vi.wikipedia.org/wiki/Hyposmocoma_crossotis
Paridea yunnana,Paridea yunnana là một loài bọ cánh cứng trong họ Chrysomelidae. Loài này được Yang miêu tả khoa học năm 1991.,"Paridea yunnana Phân loại khoa học Giới ( regnum ) Animalia Ngành ( phylum ) Arthropoda Lớp ( class ) Insecta Bộ ( ordo ) Coleoptera Họ ( familia ) Chrysomelidae Chi ( genus ) Paridea Loài ( species ) P. yunnana Danh pháp hai phần Paridea yunnana Yang , 1991 Paridea yunnana là một loài bọ cánh cứng trong họ Chrysomelidae . Loài này được Yang miêu tả khoa học năm 1991. [ 1 ] Chú thích [ sửa | sửa mã nguồn ] ^ Chrysomelidae in Synopsis of the described Coleoptera of the World ngày 13 tháng 12 năm 2008 Tham khảo [ sửa | sửa mã nguồn ] Dữ liệu liên quan tới Paridea yunnana tại Wikispecies Bài viết về tông côn trùng Luperini này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Paridea_yunnana&oldid=65913435 ”",https://vi.wikipedia.org/wiki/Paridea_yunnana
Woodsia alpina,Woodsia alpina là một loài thực vật có mạch trong họ Woodsiaceae. Loài này được (Bolton) Gray miêu tả khoa học đầu tiên năm 1821.,"Woodsia alpina Tình trạng bảo tồn Tương đối an toàn ( NatureServe ) Phân loại khoa học Giới ( regnum ) Plantae Ngành ( divisio ) Pteridophyta Lớp ( class ) Polypodiopsida Bộ ( ordo ) Polypodiales (không phân hạng) Eupolypods II Họ ( familia ) Woodsiaceae Chi ( genus ) Woodsia Loài ( species ) W. alpina Danh pháp hai phần Woodsia alpina R. Br. [ 1 ] Woodsia alpina là một loài thực vật có mạch trong họ Woodsiaceae . Loài này được (Bolton) Gray miêu tả khoa học đầu tiên năm 1821. [ 2 ] Hình ảnh [ sửa | sửa mã nguồn ] Chú thích [ sửa | sửa mã nguồn ] ^ ""Plants profile: Woodsia alpina (Bolton) Gray"" USDA. Truy cập ngày 12 tháng 6 năm 2008. ^ The Plant List (2010). "" Woodsia alpina "" . Truy cập ngày 13 tháng 8 năm 2013 . Liên kết ngoài [ sửa | sửa mã nguồn ] Tư liệu liên quan tới Woodsia alpina tại Wikimedia Commons Dữ liệu liên quan tới Woodsia alpina tại Wikispecies Vườn thực vật hoàng gia Kew ; Đại học Harvard ; Australian Plant Name Index (biên tập). ""Woodsia alpina"" . International Plant Names Index . Truy cập ngày 13 tháng 8 năm 2013 . Bài viết liên quan đến họ dương xỉ Woodsiaceae này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Woodsia_alpina&oldid=70333282 ”",https://vi.wikipedia.org/wiki/Woodsia_alpina
Kyiv,"Kyiv (tiếng Ukraina: Київ, phát âm [ˈkɪjiu̯] ), cũng được biết tới với tên từ tiếng Nga là Kiev (Ки́ев), là thủ đô và là thành phố lớn nhất nước Ukraina. Thành phố tọa lạc tại bắc trung bộ của quốc gia này, dọc theo đôi bờ sông Dnipro. Kyiv trải rộng trên diện tích 839 km² với dân số tính đến tháng 2 năm 2025 là 3.000.000 người; nếu tính cả số dân đăng ký không chính thức thì dân số của Kyiv là 3.7 triệu người. Kyiv là thành phố trực thuộc trung ương, nằm bên tỉnh Kyiv nhưng không thuộc tỉnh này. Đây là một trong các trung tâm công nghiệp, khoa học và văn hóa của Đông Âu. Nơi đây có nhiều viện nghiên cứu, trường đại học và nhiều di tích lịch sử nổi tiếng trên thế giới. Giao thông của thành phố phát triển cao, nhất là hệ thống giao thông công cộng như xe buýt và tàu điện ngầm. Thành phố Kyiv một trong những thành phố lâu đời nhất Đông Âu đã trải qua nhiều giai đoạn thăng trầm và những biến cố lịch sử. Thành phố là một trung tâm thương mại vào đầu thế kỷ 5. Là một khu định cư của người Slav ở trên con đường thương mại giữa Scandinavia và Constantinopolis, Kyiv là nơi sinh sống của một nhánh thuộc bộ lạc Khazar, cho đến khi bị những người Varangia (Viking) chiếm giữ vào thế kỷ 9. Dưới thời cai trị của Varangia, thành phố đã trở thành thủ phủ của Kiev Rus', quốc gia Đông Slav đầu tiên. Đô thành Kyiv bị hủy hoại hoàn toàn trong thời kỳ Mông Cổ xâm lược vào năm 1240, khiến thành phố mất hết tầm ảnh hưởng của mình trong hàng thế kỷ sau đó. Thành phố từng bị kiểm soát bởi các cường quốc hùng mạnh, ban đầu là Đại công quốc Lietuva, sau đó là Lãnh địa quốc vương Ba Lan và Đế quốc Nga. Thành phố phồn thịnh trở lại trong thời kỳ cách mạng công nghiệp của Đế quốc Nga cuối thế kỷ 19. Năm 1917, sau khi Cộng hòa Nhân dân Ukraina tuyên bố độc lập khỏi Đế quốc Nga, Kyiv trở thành thủ đô. Từ năm 1921 trở về sau, Kyiv là một thành phố quan trọng của Cộng hòa Xã hội chủ nghĩa Xô Viết Ukraina và từ 1934 là thủ đô nước cộng hòa này. Trong thế chiến II, thành phố lại bị hư hại nhưng nhanh chóng hồi phục trong những năm sau chiến tranh, là thành phố lớn thứ ba của Liên Xô. Sau khi Liên Xô sụp đổ, Ukraina giành độc lập vào năm 1991 và chọn Kyiv là thủ đô, tiếp nhận đều đặn làn sóng người di cư từ các vùng khác của đất nước. Trong quá trình chuyển đổi đất nước sang nền kinh tế thị trường và dân chủ, Kiev vẫn tiếp tục là lớn nhất và giàu có nhất thành phố của Ukraina. Sản lượng công nghiệp về trang bị vũ khí quân sự giảm mạnh khi Liên Xô sụp đổ, nhưng nó cũng là động lực để nền kinh tế chuyển đổi sang các lĩnh vực mới như dịch vụ tài chính và tiếp tục tạo tăng trưởng cho Kyiv. Là hành lang kết nối Đông và Tây châu Âu, Kyiv nhận được sự đầu tư lớn và liên tục vào nhà ở và cơ sở hạ tầng đô thị, là nơi chịu ảnh hưởng đan xen của lực lượng ủng hộ xích gần với phương Tây và lực lượng muốn giữ quan hệ thân Nga trong không gian thuộc Liên Xô cũ.","Kyiv Київ Kiev Từ góc trên trái: Cổng Vàng, Tòa nhà Trường Đại học Đỏ, Kiev Pechersk Lavra, Nhà thờ Thánh Andrew, Berehynia trên quảng trường Độc Lập và tượng Bohdan Khmelnytsky Hiệu kỳ Huy hiệu Biểu trưng Bản đồ Ukraina với Kyiv được tô đỏ Kyiv Xem bản đồ Ukraina Kyiv Xem bản đồ Châu Âu Tọa độ: Lỗi Lua trong package.lua tại dòng 80: module 'Mô đun:ISO 3166/data/UA' not found. 50°27′0″B 30°31′24″Đ ﻿ / ﻿ 50,45°B 30,52333°Đ ﻿ / 50.45000; 30.52333 Quốc gia Ukraina Oblast Thành phố Kyiv Raion Thành phố trực thuộc trung ương Người sáng lập Kyi, Shchek, Khoryv, Lybid Đặt tên theo Kyi Chính quyền • Thị trưởng Vitali Klitschko Diện tích • Tổng cộng 839 km 2 (324 mi 2 ) Độ cao 179 m (587 ft) Dân số (1 Tháng 1, năm 2021) • Tổng cộng 2,952,301 (TK chính thức) • Mật độ 3.299/km 2 (8,540/mi 2 ) Múi giờ Giờ Đông Âu, UTC+2, UTC+3, quy ước giờ mùa hè • Mùa hè ( DST ) EEST ( UTC+3 ) Mã bưu điện 01xxx-04xxx Mã điện thoại 44 Mã ISO 3166 UA-30 Thành phố kết nghĩa München , Vilnius , Edinburgh , Riga , Baku , Bratislava , Beograd , Chicago , Kraków , Firenze , Thành phố Kyōto , Rio de Janeiro , Tbilisi , Tirana , Tampere , Leipzig , Berlin , Sarajevo Biển số xe AA (trước 2004: КА,КВ,КЕ,КН,КІ,KT) Thành phố kết nghĩa Ankara , Athena , Belgrade , Brussel , Budapest , Chicago , Chişinău , Edinburgh , Firenze , Helsinki , Kraków , Kyoto , Leipzig , Minsk , München , Odense , Paris , Pretoria , Riga , Roma , Santiago de Chile , Sofia , Stockholm , Tallinn , Tampere , Tbilisi , Toronto , Toulouse , Warszawa , Vũ Hán , Viên , Vilnius , Yerevan Website http://www.kmr.gov.ua Kyiv ( tiếng Ukraina : Київ , phát âm [ˈkɪjiu̯] ⓘ ), cũng được biết tới với tên từ tiếng Nga là Kiev (Ки́ев), [ 1 ] [ 2 ] là thủ đô và là thành phố lớn nhất nước Ukraina . Thành phố tọa lạc tại bắc trung bộ của quốc gia này, dọc theo đôi bờ sông Dnipro . Kyiv trải rộng trên diện tích 839 km² với dân số tính đến tháng 2 năm 2025 là 3.000.000 người; nếu tính cả số dân đăng ký không chính thức thì dân số của Kyiv là 3.7 triệu ng",https://vi.wikipedia.org/wiki/Kyiv
Sân bay Vitoria,"Sân bay Vitoria (IATA: VIT, ICAO: LEVT) là một sân bay gần Vitoria-Gasteiz, ở Xứ Basque của Tây Ban Nha. Sân bay này có 1 đường băng dài 3500 m bề mặt bê tông.","để xem sân bay Vitória ở Brasil, xem Sân bay Vitória . Vitoria Airport [[Hình:|giữa|200px]] IATA : VIT - ICAO : LEVT Tóm tắt Kiểu sân bay công Cơ quan điều hành Aeropuertos Españoles y Navegacion Aerea Phục vụ Vitoria-Gasteiz Độ cao AMSL 1682 ft (513 m ) Tọa độ 42°52′58″B 02°43′28″T ﻿ / ﻿ 42,88278°B 2,72444°T ﻿ / 42.88278; -2.72444 Đường băng Hướng Chiều dài Bề mặt ft m 04/22 11.483 3.500 bê tông Sân bay Vitoria ( IATA : VIT , ICAO : LEVT ) là một sân bay gần Vitoria-Gasteiz , ở Xứ Basque của Tây Ban Nha . Sân bay này có 1 đường băng dài 3500 m bề mặt bê tông . Các hãng hàng không và các tuyến điểm [ sửa | sửa mã nguồn ] Iberia Iberia do Air Nostrum cung ứng (Barcelona, Madrid) NordJet bay thuê bao dịch vụ Các hãng vận tải hàng hóa [ sửa | sửa mã nguồn ] British Airways World Cargo DHL Air European Air Transport FedEx Express Star Air (Maersk Air) UPS Airlines Tham khảo [ sửa | sửa mã nguồn ] Liên kết ngoài [ sửa | sửa mã nguồn ] Trang mạng sân bay Vitoria Bus timetable for Vitoria Airport Lưu trữ ngày 17 tháng 12 năm 2007 tại Wayback Machine x t s Các sân bay ở Tây Ban Nha Sân bay quốc tế chính Alicante Barcelona–El Prat Gran Canaria Madrid–Barajas Málaga Palma de Mallorca Reina Sofía Sân bay quốc tế nhỏ A Coruña Almería Asturias Bilbao Fuerteventura Girona Granada Ibiza Jerez La Palma Lanzarote Lleida Menorca Murcia–San Javier Reus Santander Santiago de Compostela Sevilla Tenerife Norte Valencia Valladolid Vigo Zaragoza Nội địa Sân bay trực thăng Algeciras Badajoz Burgos Sân bay trực thăng Ceuta El Hierro La Gomera León Logroño Melilla Pamplona Salamanca San Sebastián Không thường lệ Albacete Castellón Castellón–Costa Azahar Ciudad Real Córdoba Huesca La Seu d'Urgell Madrid–Cuatro Vientos Madrid–Torrejón Murcia–Corvera Palma de Mallorca–Son Bonet Sabadell Teruel Vitoria Bài viết liên quan đến hàng không này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Sân_bay_Vito",https://vi.wikipedia.org/wiki/Sân_bay_Vitoria
Maxillaria weberbaueri,Maxillaria weberbaueri là một loài thực vật có hoa trong họ Lan. Loài này được Schltr. mô tả khoa học đầu tiên năm 1921.,"Maxillaria weberbaueri Phân loại khoa học Giới ( regnum ) Plantae (không phân hạng) Angiospermae (không phân hạng) Monocots Bộ ( ordo ) Asparagales Họ ( familia ) Orchidaceae Chi ( genus ) Maxillaria Loài ( species ) M. weberbaueri Danh pháp hai phần Maxillaria weberbaueri Schltr. Maxillaria weberbaueri là một loài thực vật có hoa trong họ Lan . Loài này được Schltr. mô tả khoa học đầu tiên năm 1921. [ 1 ] Chú thích [ sửa | sửa mã nguồn ] ^ The Plant List (2010). "" Maxillaria weberbaueri "" . Truy cập ngày 7 tháng 6 năm 2013 . Liên kết ngoài [ sửa | sửa mã nguồn ] Tư liệu liên quan tới Maxillaria weberbaueri tại Wikimedia Commons Dữ liệu liên quan tới Maxillaria weberbaueri tại Wikispecies Vườn thực vật hoàng gia Kew ; Đại học Harvard ; Australian Plant Name Index (biên tập). ""Maxillaria weberbaueri"" . International Plant Names Index . Truy cập ngày 7 tháng 6 năm 2013 . Bài viết liên quan đến tông lan Maxillarieae này vẫn còn sơ khai . Bạn có thể giúp Wikipedia mở rộng nội dung để bài được hoàn chỉnh hơn. x t s Lấy từ “ https://vi.wikipedia.org/w/index.php?title=Maxillaria_weberbaueri&oldid=67235868 ”",https://vi.wikipedia.org/wiki/Maxillaria_weberbaueri
